mOTU,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,nb_bins,mean_bin_completion,highest_bin_completion
COMPLETE-SET-AND-BULK_mOTU_024,0.0,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,0.08387096774193549,0.0,0.10967741935483871,0.012903225806451613,0.0064516129032258064,0.0064516129032258064,0.0,0.0064516129032258064,155,6.951394895047682,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_025,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,100.0,100.0
COMPLETE-SET-AND-BULK_mOTU_033,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,1.0,1.0,5,81.97183098591549,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_038,0.2702702702702703,0.0,0.0,0.0,0.2702702702702703,0.25675675675675674,0.0,0.0,0.2702702702702703,0.0,0.33783783783783783,0.24324324324324326,0.0,0.25675675675675674,0.28378378378378377,0.25675675675675674,74,24.210133051008736,100.0
COMPLETE-SET-AND-BULK_mOTU_043,0.2,0.02,0.02,0.06,0.02,0.04,0.02,0.02,0.04,0.0,0.02,0.1,0.02,0.06,0.08,0.02,50,19.774655287323924,100.0
COMPLETE-SET-AND-BULK_mOTU_088,0.45,0.0,0.0,0.0,0.7,0.6,0.0,0.0,0.45,0.0,0.8,0.45,0.0,0.45,0.4,0.45,20,64.29577564788733,97.1830985915493
COMPLETE-SET-AND-BULK_mOTU_089,0.6,0.6,0.6,0.0,0.8,0.6,0.6,0.8,0.8,0.0,1.0,1.0,0.4,0.0,0.6,0.6,5,61.97183298591549,92.95774647887325
COMPLETE-SET-AND-BULK_mOTU_097,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,3,65.25821596244131,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_098,0.125,0.08333333333333333,0.041666666666666664,0.0,0.125,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.041666666666666664,0.0,0.16666666666666666,0.0,24,7.511746255868547,100.0
COMPLETE-SET-AND-BULK_mOTU_099,0.723404255319149,0.0425531914893617,0.02127659574468085,0.0,0.851063829787234,0.5531914893617021,0.0,0.0,0.8085106382978723,0.0,0.851063829787234,0.0851063829787234,0.0,0.0,0.6595744680851063,0.6808510638297872,47,80.43152532214567,100.0
COMPLETE-SET-AND-BULK_mOTU_126,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.375,0.0,0.0,0.25,0.0,0.0,8,42.605638802816905,100.0
COMPLETE-SET-AND-BULK_mOTU_136,0.9629629629629629,0.0,0.7037037037037037,0.0,0.8148148148148148,0.8888888888888888,0.0,0.9629629629629629,0.9259259259259259,0.0,1.0,1.0,0.48148148148148145,0.0,0.0,0.1111111111111111,27,71.46583202921231,94.3661971830986
COMPLETE-SET-AND-BULK_mOTU_146,0.16923076923076924,0.0,0.16923076923076924,0.0,0.16923076923076924,0.18461538461538463,0.16923076923076924,0.015384615384615385,0.16923076923076924,0.0,0.19230769230769232,0.19230769230769232,0.0,0.0,0.12307692307692308,0.0,130,12.676064645720455,95.77464788732394
COMPLETE-SET-AND-BULK_mOTU_154,0.8888888888888888,1.0,1.0,0.0,0.8888888888888888,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.0,1.0,0.0,9,94.36619718309859,98.59154929577464
COMPLETE-SET-AND-BULK_mOTU_163,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.0,6,74.88262910798123,95.77464788732394
